"";"distance";"moving_time";"start_date";"gear_id";"type"
"358";881568;14934;2019-08-21 08:51:44;"b2992308";"Ride"
"359";59492;4937;2019-08-20 10:09:28;NA;"Hike"
"360";41309;1639;2019-08-19 15:14:29;"b5957471";"Ride"
"361";926137;16449;2019-08-19 07:44:32;"b2992308";"Ride"
"362";331591;6810;2019-08-18 15:20:39;"b5957471";"Ride"
"363";704252;9634;2019-08-17 07:52:53;"b2992308";"Ride"
"364";530752;12152;2019-08-15 07:27:21;"b2992308";"Ride"
"365";99872;3794;2019-08-14 09:06:51;"b1350013";"Ride"
"366";417819;8084;2019-08-12 13:43:48;"b2992308";"Ride"
"367";267104;6254;2019-08-11 16:52:32;"b2992308";"Ride"
"368";231389;6074;2019-08-09 15:50:18;"b5957471";"Ride"
"369";463942;10541;2019-08-08 12:37:10;"b5957471";"Ride"
"370";149984;24264;2019-08-05 07:08:26;"b2992308";"Ride"
"371";656303;11741;2019-08-02 11:29:42;"b2992308";"Ride"
"372";460067;7591;2019-07-31 16:35:46;"b2992308";"Ride"
"373";9412;12861;2019-07-29 07:49:50;"b2992308";"Ride"
"374";781972;17152;2019-07-23 06:36:12;"b2992308";"Ride"
"375";73304;16432;2019-07-22 07:55:09;"b2992308";"Ride"
"376";601061;12961;2019-07-21 06:57:56;"b2992308";"Ride"
"377";100207;17638;2019-07-20 06:35:06;"b2992308";"Ride"
"378";703893;15907;2019-07-19 09:55:23;"b2992308";"Ride"
"379";280128;5276;2019-07-17 11:11:50;"b5957471";"Ride"
"380";281152;6766;2019-07-16 11:47:57;"b5957471";"Ride"
"381";631607;11089;2019-07-14 08:12:58;"b2992308";"Ride"
"382";448295;7670;2019-07-13 13:48:05;"b2992308";"Ride"
"383";500371;6757;2019-07-11 07:57:46;"b2992308";"Ride"
"384";35353;4796;2019-07-09 14:58:50;"b5957471";"Ride"
"385";34033;4737;2019-07-09 06:40:40;"b5957471";"Ride"
"386";247765;4845;2019-07-07 07:36:58;"b5957471";"Ride"
"387";530033;7742;2019-07-06 08:24:31;"b5957471";"Ride"
"388";681209;8804;2019-07-04 11:10:52;"b2992308";"Ride"
"389";213122;4185;2019-07-02 13:27:37;"b5957471";"Ride"
"390";263667;4398;2019-07-01 13:22:58;"b5957471";"Ride"
"391";104505;14168;2019-06-29 06:55:38;"b2992308";"Ride"
"392";534331;6900;2019-06-26 16:45:24;"b2992308";"Ride"
"393";287533;4076;2019-06-20 18:08:50;"b5957471";"Ride"
"394";365976;5107;2019-06-18 14:19:36;"b5957471";"Ride"
"395";339991;4706;2019-06-18 06:45:43;"b5957471";"Ride"
"396";100662;13011;2019-06-16 07:58:43;"b2992308";"Ride"
"397";263263;4559;2019-06-14 08:58:41;"b5957471";"Ride"
"398";211128;4167;2019-06-13 12:33:06;"b5957471";"Ride"
"399";233367;3371;2019-06-12 18:06:07;"b5957471";"Ride"
"400";528;9711;2019-06-10 10:09:18;"b2992308";"Ride"
"401";100248;17739;2019-06-09 08:03:21;"b2992308";"Ride"
"402";101272;18771;2019-06-08 08:02:47;"b2992308";"Ride"
"403";278622;4513;2019-06-06 13:37:48;"b3995755";"Ride"
